path,bytes,sha256,status,issues
results/indic_embedding_benchmark_samanantar/outputs/samanantar_alignment_colab/samanantar_alignment_metrics_samanantar_train_n2000_seed42.csv,40505,2ea76a8041ca5632836decea4d933d4e2c098ccb5eade2cd32cad15cc0d8c371,ok,
results/indic_embedding_benchmark_samanantar/outputs/samanantar_alignment_colab/worst_pairs_samanantar_train_n2000_seed42.csv,18647,5b33693e3b243a886c6bd42d05c9eac4d9e2b14b638c02d6bf8553a99390e6e0,ok,
results/indic_embedding_benchmark_samanantar/outputs/samanantar_avg_cosine/best_pairs_avg_cosine_samanantar_n2000_l128.csv,9522,6649f3e5563f1c4c3764327f414bb155a777b7e5c887376a59877cb0e08932cb,ok,
results/indic_embedding_benchmark_samanantar/outputs/samanantar_avg_cosine/model_summary_avg_cosine_samanantar_n2000_l128.csv,733,a23f58bbf68823942cc679ec7521edd14bcebfdd7da1abd626fa22be2014d1ee,ok,
results/indic_embedding_benchmark_samanantar/outputs/samanantar_avg_cosine/pair_summary_avg_cosine_samanantar_n2000_l128.csv,20729,d57824b0d45982845e9d562bfc78ccb319fc9b06f6d244b21d3221b293fca3b4,ok,
results/indic_embedding_benchmark_samanantar/outputs/samanantar_avg_cosine/samanantar_avg_cosine_metrics_samanantar_n2000_l128.csv,20729,1f8ea80ab44bc94f9c89c61113ed14320536604522613a0ed76dffdc6f535b34,ok,
results/indic_embedding_benchmark_samanantar/outputs/samanantar_avg_cosine/weakest_pairs_avg_cosine_samanantar_n2000_l128.csv,9560,0fb74f9b9931d2e273f37eede5f814cafb55b7bf1a0a23a664455e8108356524,ok,
results/labse_all_pairs_indic_finetuning/exports/labse_all_pairs_metrics_only.zip,95029922,6e176e4e63e54afae51277e43f84730af098533ebdcbc7af8fd6ea866554f55f,ok,
results/labse_all_pairs_indic_finetuning/metrics/delta_all_462_best_model_vs_labse_baseline_by_direction.csv,336847,91ae8a87a248eba94a5dc3f382da0f0de86791bedfb36ef6ff41eafba8f20f55,ok,
results/labse_all_pairs_indic_finetuning/metrics/delta_all_462_final_model_vs_labse_baseline_by_direction.csv,337326,ba8d0b8e841d1ac5751140ec165dfe74c46b77e891762518f8b5d85ef4954059,ok,
results/labse_all_pairs_indic_finetuning/metrics/delta_vs_labse_baseline.csv,664,6f78bb6310044534c47aedc6a816cf3875c73553aee7a43906c20a6ee79b58c6,ok,
results/labse_all_pairs_indic_finetuning/metrics/in22_conv_eval_all_462_best_model_by_direction.csv,125558,a474e00588ba3b3152d7e28a0651ab3bd829bfcdf40ee4bc1f132670c5ecdc1b,ok,
results/labse_all_pairs_indic_finetuning/metrics/in22_conv_eval_all_462_final_model_by_direction.csv,126011,8e78207958a1c7ee05d62a24d07afdc81562a20b68f262781e96c9a5216ef57d,ok,
results/labse_all_pairs_indic_finetuning/metrics/in22_conv_eval_all_models_by_direction.csv,375564,e24ecfbf6826787cce50a03e9f9431a78a9f1e768fc9aa7c2f705007c7cb4695,ok,
results/labse_all_pairs_indic_finetuning/metrics/in22_conv_eval_summary_by_model.csv,785,37cc1d746495f3ff2d134b334b9492650170d37fef123105740b8606ca9a2eea,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/model_generation_verification.csv,365,693a21b415fad64584b94bf15e297c5925e6e883b9f405d70fa292481e86e89d,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/train_metrics.csv,1185,aee513ebca1fe3fcac454c9af8a4400fa8ba409d40053af71da495c9bebd9195,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/training_config.json,8357,5cb4a89f0481f18d2d7a0bb00d48ddbbd94801f5250c548b85ec850a0097cb64,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/val_per_direction_epoch_1.csv,39262,e5db335828dd34d25f5df591a3ebb9602bbea0a8f3448e87ede62202d6a4f944,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/val_per_direction_epoch_2.csv,39075,6715755579ebc4be541bb47d6b44f36e02e8bc2d3e3b0c1fa51bc3e848939b61,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/val_per_direction_epoch_3.csv,39587,ab01c2d1c2270e056c06617abb7308bdfb7166023dc1db10e46e1cbffec11f40,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/val_per_direction_epoch_4.csv,39716,d2579c57617d1350dc0b1086a547f0682be575810baeb0aa1a81247313b208be,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_all_462_directed_pairs_balanced/val_per_direction_epoch_5.csv,39735,fbee1021a88c582c4490678b1f16a170f0851979234d484cf0c4aef90291cda9,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_phase2_weak_pair_weighted_from_phase1/phase2_train_metrics.csv,837,efe97e2415e3fe209fc590b8b080e50f224bc7a09b3ea59dc351fadb2c313936,ok,
results/labse_all_pairs_indic_finetuning/outputs/labse_phase2_weak_pair_weighted_from_phase1/training_config.json,1356,2d9c38c4290d63a2305c9e2339cc6d8fc47674a7edb58249273e669b9a56ba11,ok,
results/labse_indic_indic_benchmark/outputs/labse_COMBINED_FLORES_SAMANANTAR_INDIC_INDIC.csv,72079,7523f3459f9b4e41b8e6d1c29194b2614719ccceb8d297dcbc93d998c0368b3d,ok,
results/labse_indic_indic_benchmark/outputs/labse_DATASET_SUMMARY_INDIC_INDIC.csv,398,759fab7fa01d4ce70b5e6aa041a01536629ae0cf8bcda432865f580154969d9b,ok,
results/labse_indic_indic_benchmark/outputs/labse_PAIR_SUMMARY_INDIC_INDIC.csv,30366,aefdcc72124b8311b3de4e419103b5b6003f45bcfb988bf56888bf39590cc395,ok,
