model,src_lang,tgt_lang,direction,n,accuracy_at_1,recall_at_5,recall_at_10,mrr,mean_gold_cosine,std_gold_cosine,mean_random_cosine,std_random_cosine,cosine_gap,sensitivity_midpoint,specificity_midpoint,balanced_accuracy_midpoint,model_baseline,n_baseline,accuracy_at_1_baseline,recall_at_5_baseline,recall_at_10_baseline,mrr_baseline,mean_gold_cosine_baseline,std_gold_cosine_baseline,mean_random_cosine_baseline,std_random_cosine_baseline,cosine_gap_baseline,sensitivity_midpoint_baseline,specificity_midpoint_baseline,balanced_accuracy_midpoint_baseline,delta_accuracy_at_1,delta_recall_at_5,delta_recall_at_10,delta_mrr,delta_mean_gold_cosine,delta_mean_random_cosine,delta_cosine_gap,delta_sensitivity_midpoint,delta_specificity_midpoint,delta_balanced_accuracy_midpoint
all_462_best_model,asm,snd,asm->snd,1503,0.6320691949434465,0.7811044577511643,0.8376580172987359,0.7030038869654817,0.747496485710144,0.12018809467554092,0.34278497099876404,0.15585196018218994,0.40471151471138,0.9387890884896873,0.8988689288090486,0.918829008649368,labse_baseline,1503,0.5362608117099135,0.6892880904856953,0.7544910179640718,0.6117976017426476,0.506300151348114,0.17927391827106476,0.1709812432527542,0.12539558112621307,0.3353189080953598,0.8043912175648703,0.8882235528942116,0.846307385229541,0.09580838323353302,0.09181636726546905,0.0831669993346641,0.09120628522283403,0.24119633436203003,0.17180372774600983,0.0693926066160202,0.13439787092481703,0.010645375914836941,0.07252162341982704
all_462_best_model,asm,tam,asm->tam,1503,0.791084497671324,0.8882235528942116,0.9128409846972722,0.8368799004920754,0.7989002466201782,0.1158306747674942,0.35869771242141724,0.15110622346401215,0.440202534198761,0.9434464404524284,0.9214903526280772,0.9324683965402528,labse_baseline,1503,0.8283433133732535,0.9161676646706587,0.9387890884896873,0.869749337296656,0.7121208310127258,0.1396973729133606,0.2927141785621643,0.12369803339242935,0.4194066524505615,0.914836992681304,0.9407850964737192,0.9278110445775116,-0.03725881570192946,-0.027944111776447067,-0.02594810379241519,-0.032869436804580654,0.08677941560745239,0.06598353385925293,0.020795881748199463,0.028609447771124397,-0.019294743845642004,0.004657351962741196
all_462_best_model,asm,tel,asm->tel,1503,0.8782435129740519,0.9454424484364604,0.9614105123087159,0.9109283847610203,0.8457770943641663,0.09570423513650894,0.3635331094264984,0.1518305242061615,0.48224398493766785,0.9707252162341983,0.9354624085163007,0.9530938123752495,labse_baseline,1503,0.8962075848303394,0.9607451763140386,0.9733865602129075,0.9261160484912605,0.7610375881195068,0.12597092986106873,0.2975607216358185,0.12628160417079926,0.46347686648368835,0.9514304723885563,0.9527611443779108,0.9520958083832336,-0.017964071856287456,-0.015302727877578137,-0.0119760479041916,-0.015187663730240164,0.08473950624465942,0.06597238779067993,0.018767118453979492,0.019294743845642004,-0.017298735861610126,0.0009980039920158834
all_462_best_model,asm,urd,asm->urd,1503,0.9221556886227545,0.9700598802395209,0.9800399201596807,0.9450945077318813,0.8708442449569702,0.08558487892150879,0.36015254259109497,0.1512606292963028,0.5106917023658752,0.9840319361277445,0.9527611443779108,0.9683965402528276,labse_baseline,1503,0.9308050565535595,0.9813705921490352,0.9866932801064537,0.9528590609011793,0.7881056666374207,0.11617913842201233,0.3067918121814728,0.12267618626356125,0.4813138544559479,0.9673985362608117,0.9680638722554891,0.9677312042581504,-0.008649367930804952,-0.01131071190951427,-0.006653359946773074,-0.007764553169298027,0.08273857831954956,0.05336073040962219,0.029377847909927368,0.016633399866932796,-0.015302727877578248,0.0006653359946772186
all_462_best_model,ben,asm,ben->asm,1503,0.9101796407185628,0.9700598802395209,0.980705256154358,0.9384657911655614,0.8739862442016602,0.0877494215965271,0.3634532690048218,0.1499696671962738,0.5105329751968384,0.980705256154358,0.9507651363938789,0.9657351962741185,labse_baseline,1503,0.9141716566866267,0.9747172322022621,0.9833666001330672,0.9418949155058781,0.8066039085388184,0.11492498219013214,0.3030710518360138,0.12839235365390778,0.5035328567028046,0.9687292082501663,0.9640718562874252,0.9664005322687957,-0.003992015968063867,-0.004657351962741196,-0.0026613439787092075,-0.003429124340316725,0.0673823356628418,0.06038221716880798,0.0070001184940338135,0.011976047904191711,-0.01330671989354626,-0.0006653359946772186
all_462_best_model,ben,brx,ben->brx,1503,0.3140385894876913,0.4743845642049235,0.5588822355289421,0.3975453990309209,0.645119309425354,0.1251114159822464,0.32410314679145813,0.15754373371601105,0.3210161626338959,0.8908848968729208,0.8303393213572854,0.8606121091151031,labse_baseline,1503,0.12907518296739853,0.21756487025948104,0.2741184298070526,0.1800032456047153,0.23640739917755127,0.16757065057754517,0.08868677914142609,0.10282936692237854,0.14772062003612518,0.6300731869594145,0.8050565535595475,0.717564870259481,0.18496340652029278,0.25681969394544246,0.28476380572188953,0.2175421534262056,0.40871191024780273,0.23541636765003204,0.1732955425977707,0.26081170991350633,0.02528276779773786,0.1430472388556221
all_462_best_model,ben,doi,ben->doi,1503,0.782435129740519,0.9101796407185628,0.9334664005322688,0.8415676390445996,0.7956025004386902,0.11071125417947769,0.35099130868911743,0.15305551886558533,0.44461119174957275,0.9600798403193613,0.9234863606121091,0.9417831004657352,labse_baseline,1503,0.6620093147039254,0.7957418496340652,0.8456420492348636,0.7242761923744274,0.5975862145423889,0.18246422708034515,0.21887657046318054,0.13482844829559326,0.3787096440792084,0.8416500332667998,0.9128409846972722,0.8772455089820359,0.12042581503659355,0.11443779108449759,0.08782435129740518,0.11729144667017222,0.19801628589630127,0.1321147382259369,0.06590154767036438,0.11842980705256156,0.010645375914836941,0.06453759148369931
all_462_best_model,ben,guj,ben->guj,1503,0.9334664005322688,0.9773785761809713,0.9846972721224219,0.953349628405176,0.8914992213249207,0.08359009027481079,0.36863845586776733,0.15034665167331696,0.5228607654571533,0.9833666001330672,0.9520958083832335,0.9677312042581503,labse_baseline,1503,0.9441117764471058,0.9840319361277445,0.9893546240851631,0.962368700792818,0.8655688166618347,0.09320464730262756,0.3864439129829407,0.11691012233495712,0.47912490367889404,0.9753825681969395,0.9707252162341983,0.9730538922155689,-0.010645375914836941,-0.006653359946773185,-0.004657351962741196,-0.009019072387641991,0.025930404663085938,-0.01780545711517334,0.04373586177825928,0.007984031936127733,-0.018629407850964785,-0.005322687957418637
all_462_best_model,ben,hin,ben->hin,1503,0.9467731204258151,0.9866932801064537,0.9926813040585496,0.966843268561456,0.8935064673423767,0.07701950520277023,0.3674565255641937,0.14823724329471588,0.526049941778183,0.9880239520958084,0.9607451763140386,0.9743845642049235,labse_baseline,1503,0.9514304723885563,0.9873586161011311,0.9940119760479041,0.9688992463736489,0.8613099455833435,0.090781569480896,0.3958098292350769,0.1151883602142334,0.4655001163482666,0.9707252162341983,0.9620758483033932,0.9664005322687957,-0.004657351962741196,-0.0006653359946773296,-0.0013306719893545482,-0.0020559778121929106,0.0321965217590332,-0.02835330367088318,0.06054982542991638,0.017298735861610126,-0.0013306719893546592,0.007984031936127733
all_462_best_model,ben,kan,ben->kan,1503,0.8556220891550232,0.9407850964737192,0.9560878243512974,0.8942805708656683,0.8363238573074341,0.10314454883337021,0.3617013096809387,0.15045511722564697,0.47462254762649536,0.9687292082501663,0.9374584165003327,0.9530938123752495,labse_baseline,1503,0.8522954091816367,0.9354624085163007,0.9494344644045243,0.8899042936170136,0.7600024342536926,0.14216478168964386,0.3166112005710602,0.13482928276062012,0.44339123368263245,0.9188290086493679,0.9401197604790419,0.9294743845642048,0.003326679973386537,0.005322687957418526,0.006653359946773074,0.004376277248654636,0.07632142305374146,0.04509010910987854,0.031231313943862915,0.04990019960079839,-0.0026613439787092075,0.023619427811044647
all_462_best_model,ben,kas,ben->kas,1503,0.4737192282102462,0.6280771789753826,0.6939454424484365,0.5503291533593258,0.6871809959411621,0.13047245144844055,0.33840805292129517,0.1582992672920227,0.34877294301986694,0.9015302727877578,0.8576180971390552,0.8795741849634064,labse_baseline,1503,0.3333333333333333,0.4657351962741184,0.5209580838323353,0.40041157601960004,0.35616934299468994,0.20136676728725433,0.11026882380247116,0.12531104683876038,0.24590051919221878,0.716566866267465,0.8369926813040586,0.7767797737857618,0.1403858948769129,0.1623419827012642,0.17298735861610115,0.14991757733972572,0.33101165294647217,0.228139229118824,0.10287242382764816,0.18496340652029275,0.020625415834996663,0.10279441117764465
all_462_best_model,ben,gom,ben->gom,1503,0.7411842980705257,0.8715901530272788,0.9088489687292083,0.8000693913492258,0.776401937007904,0.115324467420578,0.34587645530700684,0.1524134874343872,0.4305254817008972,0.9567531603459747,0.9188290086493679,0.9377910844976713,labse_baseline,1503,0.6360612109115104,0.7764471057884231,0.8196939454424484,0.7010947872891924,0.5848070383071899,0.18597003817558289,0.20678037405014038,0.14381159842014313,0.37802666425704956,0.8389886892880905,0.8982035928143712,0.8685961410512308,0.1051230871590153,0.0951430472388557,0.08915502328675984,0.09897460406003344,0.1915948987007141,0.13909608125686646,0.052498817443847656,0.11776447105788423,0.020625415834996663,0.0691949434464405
