model,src_lang,tgt_lang,direction,n,accuracy_at_1,recall_at_5,recall_at_10,mrr,mean_gold_cosine,std_gold_cosine,mean_random_cosine,std_random_cosine,cosine_gap,sensitivity_midpoint,specificity_midpoint,balanced_accuracy_midpoint,model_baseline,n_baseline,accuracy_at_1_baseline,recall_at_5_baseline,recall_at_10_baseline,mrr_baseline,mean_gold_cosine_baseline,std_gold_cosine_baseline,mean_random_cosine_baseline,std_random_cosine_baseline,cosine_gap_baseline,sensitivity_midpoint_baseline,specificity_midpoint_baseline,balanced_accuracy_midpoint_baseline,delta_accuracy_at_1,delta_recall_at_5,delta_recall_at_10,delta_mrr,delta_mean_gold_cosine,delta_mean_random_cosine,delta_cosine_gap,delta_sensitivity_midpoint,delta_specificity_midpoint,delta_balanced_accuracy_midpoint
all_462_final_model,asm,ben,asm->ben,1503,0.9075182967398536,0.9700598802395209,0.9753825681969395,0.9351136067264855,0.8768749833106995,0.08593381941318512,0.3731862008571625,0.14917558431625366,0.503688782453537,0.980705256154358,0.9507651363938789,0.9657351962741185,labse_baseline,1503,0.9301397205588823,0.9813705921490352,0.9893546240851631,0.9523474533422677,0.8066039085388184,0.11492498219013214,0.3058384656906128,0.12717889249324799,0.5007654428482056,0.9680638722554891,0.9673985362608117,0.9677312042581504,-0.022621423819028652,-0.01131071190951427,-0.013972055888223589,-0.0172338466157822,0.0702710747718811,0.06734773516654968,0.002923339605331421,0.01264138389886893,-0.016633399866932796,-0.001996007984031878
all_462_final_model,asm,brx,asm->brx,1503,0.3166999334664005,0.46773120425815035,0.552228875582169,0.39605448964957574,0.6728198528289795,0.12203021347522736,0.3406113088130951,0.16304725408554077,0.3322085440158844,0.9068529607451763,0.8396540252827678,0.873253493013972,labse_baseline,1503,0.1596806387225549,0.281437125748503,0.3393213572854291,0.2236504002564663,0.2670396566390991,0.16642242670059204,0.09377894550561905,0.10208752006292343,0.17326071113348007,0.6533599467731205,0.8243512974051896,0.7388556220891551,0.15701929474384563,0.18629407850964735,0.21290751829673993,0.17240408939310944,0.40578019618988037,0.24683236330747604,0.15894783288240433,0.2534930139720558,0.015302727877578137,0.13439787092481692
all_462_final_model,asm,doi,asm->doi,1503,0.7351962741184298,0.8689288090485695,0.9068529607451763,0.7981347039553097,0.7916811108589172,0.11045844107866287,0.36111560463905334,0.1549423485994339,0.4305655062198639,0.9507651363938789,0.9115103127079175,0.9311377245508983,labse_baseline,1503,0.6793080505655356,0.8270126413838988,0.872255489021956,0.746926277314932,0.5947585105895996,0.17456892132759094,0.19779863953590393,0.13028262555599213,0.3969598710536957,0.8569527611443779,0.9261477045908184,0.8915502328675982,0.055888223552894245,0.041916167664670656,0.03459747172322025,0.051208426640377724,0.19692260026931763,0.16331696510314941,0.03360563516616821,0.09381237524950103,-0.014637391882900919,0.03958749168330011
all_462_final_model,asm,guj,asm->guj,1503,0.9075182967398536,0.959414504324684,0.9780439121756487,0.9331122776226785,0.8700881004333496,0.08902993053197861,0.37344253063201904,0.1500672698020935,0.49664556980133057,0.9767132401862941,0.9454424484364604,0.9610778443113772,labse_baseline,1503,0.9354624085163007,0.9773785761809713,0.9853626081170991,0.9552273938366096,0.7863742113113403,0.11741742491722107,0.30947479605674744,0.1244373768568039,0.4768994152545929,0.957418496340652,0.9640718562874252,0.9607451763140387,-0.027944111776447067,-0.017964071856287345,-0.007318695941450404,-0.02211511621393114,0.08371388912200928,0.0639677345752716,0.01974615454673767,0.019294743845642115,-0.018629407850964785,0.0003326679973385538
all_462_final_model,asm,hin,asm->hin,1503,0.9188290086493679,0.9654025282767797,0.978709248170326,0.9420748904162305,0.8667749762535095,0.08674132078886032,0.3723765015602112,0.14879021048545837,0.49439847469329834,0.980705256154358,0.9427811044577512,0.9617431803060545,labse_baseline,1503,0.927478376580173,0.9773785761809713,0.9873586161011311,0.9513179936948887,0.771601140499115,0.12004456669092178,0.31528693437576294,0.12257623672485352,0.45631420612335205,0.9580838323353293,0.9600798403193613,0.9590818363273453,-0.008649367930805063,-0.0119760479041916,-0.008649367930805063,-0.009243103278658182,0.09517383575439453,0.05708956718444824,0.03808426856994629,0.022621423819028652,-0.017298735861610126,0.0026613439787092075
all_462_final_model,asm,kan,asm->kan,1503,0.810379241516966,0.9088489687292083,0.9341317365269461,0.8558961349406864,0.8204458355903625,0.10843566805124283,0.3689155578613281,0.15132175385951996,0.4515302777290344,0.9600798403193613,0.927478376580173,0.9437791084497671,labse_baseline,1503,0.8369926813040586,0.9281437125748503,0.9474384564204924,0.8780466190236489,0.717513382434845,0.1458239108324051,0.26694637537002563,0.13297289609909058,0.45056700706481934,0.9281437125748503,0.9347970725216235,0.9314703925482368,-0.02661343978709252,-0.019294743845642004,-0.01330671989354626,-0.022150484082962496,0.10293245315551758,0.10196918249130249,0.0009632706642150879,0.031936127744511045,-0.007318695941450515,0.012308715901530265
all_462_final_model,asm,kas,asm->kas,1503,0.4424484364604125,0.605455755156354,0.6686626746506986,0.5188547277806606,0.7055119872093201,0.1250280886888504,0.35037463903427124,0.16187691688537598,0.35513734817504883,0.9115103127079175,0.8562874251497006,0.883898868928809,labse_baseline,1503,0.36127744510978044,0.5249500998003992,0.58416500332668,0.4401006499815765,0.394939124584198,0.1926521360874176,0.11804089695215225,0.122803695499897,0.27689822763204575,0.7571523619427811,0.8609447771124418,0.8090485695276115,0.08117099135063205,0.08050565535595477,0.08449767132401864,0.07875407779908405,0.31057286262512207,0.232333742082119,0.07823912054300308,0.15435795076513636,-0.004657351962741196,0.07485029940119747
all_462_final_model,asm,gom,asm->gom,1503,0.7072521623419827,0.8436460412508316,0.8888888888888888,0.7699644981255476,0.7788488864898682,0.11246522516012192,0.35748937726020813,0.154100701212883,0.42135950922966003,0.9500998003992016,0.9008649367930806,0.9254823685961411,labse_baseline,1503,0.6606786427145709,0.7977378576180971,0.8383233532934131,0.7239943344497912,0.5854130983352661,0.17686030268669128,0.18552549183368683,0.13793718814849854,0.3998876065015793,0.8602794411177644,0.9108449767132402,0.8855622089155023,0.04657351962741185,0.04590818363273452,0.05056553559547572,0.04597016367575635,0.19343578815460205,0.1719638854265213,0.02147190272808075,0.08982035928143717,-0.009980039920159611,0.03992015968063878
all_462_final_model,asm,mai,asm->mai,1503,0.780439121756487,0.8875582168995343,0.9155023286759814,0.8308005646708813,0.8032298684120178,0.10751720517873764,0.367053747177124,0.1551147997379303,0.4361761212348938,0.959414504324684,0.906187624750499,0.9328010645375915,labse_baseline,1503,0.7744510978043913,0.8809048569527611,0.916833000665336,0.8266817420696215,0.6493164300918579,0.15363113582134247,0.23073138296604156,0.13317623734474182,0.41858504712581635,0.8995342648037259,0.9194943446440452,0.9095143047238856,0.0059880239520957446,0.006653359946773185,-0.0013306719893546592,0.004118822601259731,0.1539134383201599,0.13632236421108246,0.017591074109077454,0.05988023952095811,-0.01330671989354626,0.02328675981370587
all_462_final_model,asm,mal,asm->mal,1503,0.850964737192282,0.9374584165003327,0.9560878243512974,0.8901085328771704,0.8389449715614319,0.09463675320148468,0.3694615066051483,0.15078678727149963,0.46948346495628357,0.9720558882235529,0.936127744510978,0.9540918163672655,labse_baseline,1503,0.8795741849634066,0.9634065202927479,0.9747172322022621,0.9164886999694676,0.7580925226211548,0.12429803609848022,0.2850751578807831,0.12683308124542236,0.4730173647403717,0.9500998003992016,0.9587491683300067,0.9544244843646041,-0.028609447771124508,-0.02594810379241519,-0.018629407850964785,-0.02638016709229718,0.0808524489402771,0.08438634872436523,-0.0035338997840881348,0.021956087824351322,-0.022621423819028652,-0.0003326679973386648
all_462_final_model,asm,mni,asm->mni,1503,0.039254823685961414,0.14238190286094476,0.19494344644045242,0.11491430728998116,0.600725531578064,0.12221080809831619,0.352583646774292,0.1738826334476471,0.24814188480377197,0.850964737192282,0.7618097139055223,0.8063872255489022,labse_baseline,1503,0.00998003992015968,0.044577511643379905,0.06187624750499002,0.03619687899187262,0.10655361413955688,0.14065279066562653,0.034150052815675735,0.09069199115037918,0.07240356132388115,0.5069860279441117,0.7278775781769794,0.6174318030605456,0.029274783765801733,0.09780439121756486,0.1330671989354624,0.07871742829810854,0.4941719174385071,0.31843359395861626,0.17573832347989082,0.3439787092481703,0.03393213572854292,0.18895542248835662
all_462_final_model,asm,mar,asm->mar,1503,0.9108449767132402,0.9627411842980705,0.9747172322022621,0.9346754832311601,0.8661715984344482,0.089875228703022,0.3731177747249603,0.14849033951759338,0.4930538237094879,0.978709248170326,0.9447771124417831,0.9617431803060545,labse_baseline,1503,0.9221556886227545,0.9747172322022621,0.9833666001330672,0.9448569468903149,0.7880178093910217,0.1193912997841835,0.30534854531288147,0.1238555759191513,0.48266926407814026,0.9587491683300067,0.9667332002661344,0.9627411842980705,-0.011310711909514382,-0.0119760479041916,-0.008649367930805063,-0.010181463659154733,0.07815378904342651,0.06776922941207886,0.010384559631347656,0.019960079840319334,-0.021956087824351322,-0.0009980039920159944
all_462_final_model,asm,npi,asm->npi,1503,0.9194943446440452,0.9680638722554891,0.9827012641383899,0.9430538773021548,0.8761225938796997,0.08673859387636185,0.37300971150398254,0.1478591114282608,0.5031128823757172,0.9813705921490352,0.9527611443779108,0.967065868263473,labse_baseline,1503,0.9334664005322688,0.9820359281437125,0.9893546240851631,0.9548270255620829,0.8003742098808289,0.11729717999696732,0.30405616760253906,0.12455829977989197,0.4963180422782898,0.9620758483033932,0.9647371922821024,0.9634065202927478,-0.013972055888223589,-0.013972055888223478,-0.006653359946773185,-0.011773148259928035,0.07574838399887085,0.06895354390144348,0.006794840097427368,0.019294743845642004,-0.0119760479041916,0.003659347970725202
all_462_final_model,asm,ory,asm->ory,1503,0.9055222887558216,0.9667332002661344,0.978709248170326,0.9336434501412119,0.8701118230819702,0.08461928367614746,0.3685271739959717,0.14936137199401855,0.5015846490859985,0.9846972721224219,0.9520958083832335,0.9683965402528276,labse_baseline,1503,0.9281437125748503,0.9780439121756487,0.9860279441117764,0.9509136649357383,0.7933717370033264,0.1159256100654602,0.288103848695755,0.12566734850406647,0.5052678883075714,0.9680638722554891,0.9654025282767797,0.9667332002661344,-0.022621423819028652,-0.01131071190951427,-0.007318695941450404,-0.017270214794526395,0.0767400860786438,0.08042332530021667,-0.003683239221572876,0.016633399866932796,-0.01330671989354626,0.001663339986693213
all_462_final_model,asm,pan,asm->pan,1503,0.8948769128409847,0.959414504324684,0.9713905522288756,0.9253319966679703,0.8513854742050171,0.09574653953313828,0.3663136661052704,0.14791221916675568,0.4850718080997467,0.9733865602129075,0.9407850964737192,0.9570858283433133,labse_baseline,1503,0.9101796407185628,0.9707252162341983,0.9846972721224219,0.939197419897755,0.7678881883621216,0.1260221004486084,0.28604942560195923,0.12715938687324524,0.48183876276016235,0.9494344644045243,0.9620758483033932,0.9557551563539588,-0.015302727877578137,-0.01131071190951427,-0.01330671989354626,-0.013865423229784679,0.08349728584289551,0.08026424050331116,0.0032330453395843506,0.0239520958083832,-0.021290751829673993,0.0013306719893545482
all_462_final_model,asm,san,asm->san,1503,0.6846307385229541,0.8236859614105123,0.8775781769793746,0.7500402486968974,0.7663677930831909,0.1134953424334526,0.3613359332084656,0.15681596100330353,0.40503185987472534,0.9500998003992016,0.8942115768463074,0.9221556886227544,labse_baseline,1503,0.5881570192947438,0.7584830339321357,0.812375249500998,0.6679370251563456,0.5263926982879639,0.1773090660572052,0.1724202185869217,0.13150423765182495,0.3539724797010422,0.8363273453093812,0.9041916167664671,0.8702594810379242,0.09647371922821024,0.06520292747837664,0.06520292747837653,0.08210322354055188,0.23997509479522705,0.18891571462154388,0.051059380173683167,0.11377245508982037,-0.009980039920159722,0.05189620758483027
all_462_final_model,asm,sat,asm->sat,1503,0.03592814371257485,0.15701929474384566,0.20159680638722555,0.13861219596343372,0.6047406196594238,0.13154937326908112,0.3524363338947296,0.17553946375846863,0.2523042857646942,0.8310046573519627,0.7651363938789089,0.7980705256154358,labse_baseline,1503,0.011310711909514305,0.0332667997338656,0.0499001996007984,0.033359366611852424,0.10966094583272934,0.13802851736545563,0.039559029042720795,0.08596030622720718,0.07010191679000854,0.4856952761144378,0.7445109780439122,0.615103127079175,0.024617431803060544,0.12375249500998006,0.15169660678642716,0.10525282935158128,0.4950796738266945,0.3128773048520088,0.18220236897468567,0.3453093812375249,0.020625415834996663,0.18296739853626076
all_462_final_model,asm,snd,asm->snd,1503,0.6307385229540918,0.7784431137724551,0.8403193612774451,0.7027334128143344,0.7541024088859558,0.11750620603561401,0.35597100853919983,0.15471135079860687,0.398131400346756,0.9407850964737192,0.8962075848303394,0.9184963406520292,labse_baseline,1503,0.5362608117099135,0.6892880904856953,0.7544910179640718,0.6117976017426476,0.506300151348114,0.17927391827106476,0.1709812432527542,0.12539558112621307,0.3353189080953598,0.8043912175648703,0.8882235528942116,0.846307385229541,0.09447771124417836,0.08915502328675984,0.0858283433133733,0.0909358110716868,0.2478022575378418,0.18498976528644562,0.06281249225139618,0.1363938789088489,0.007984031936127733,0.07218895542248827
all_462_final_model,asm,tam,asm->tam,1503,0.7904191616766467,0.8875582168995343,0.9128409846972722,0.8360675979430624,0.803455114364624,0.11375822126865387,0.3705376386642456,0.14993368089199066,0.4329174757003784,0.9454424484364604,0.9201596806387226,0.9328010645375915,labse_baseline,1503,0.8283433133732535,0.9161676646706587,0.9387890884896873,0.869749337296656,0.7121208310127258,0.1396973729133606,0.2927141785621643,0.12369803339242935,0.4194066524505615,0.914836992681304,0.9407850964737192,0.9278110445775116,-0.03792415169660679,-0.028609447771124397,-0.02594810379241519,-0.03368173935359364,0.0913342833518982,0.0778234601020813,0.013510823249816895,0.030605455755156386,-0.020625415834996663,0.004990019960079861
all_462_final_model,asm,tel,asm->tel,1503,0.8755821689953427,0.9454424484364604,0.9614105123087159,0.9096119213889527,0.8493833541870117,0.09386075288057327,0.37534841895103455,0.15068663656711578,0.4740349352359772,0.9700598802395209,0.9347970725216235,0.9524284763805722,labse_baseline,1503,0.8962075848303394,0.9607451763140386,0.9733865602129075,0.9261160484912605,0.7610375881195068,0.12597092986106873,0.2975607216358185,0.12628160417079926,0.46347686648368835,0.9514304723885563,0.9527611443779108,0.9520958083832336,-0.020625415834996663,-0.015302727877578137,-0.0119760479041916,-0.016504127102307753,0.08834576606750488,0.07778769731521606,0.010558068752288818,0.018629407850964674,-0.017964071856287345,0.0003326679973385538
all_462_final_model,asm,urd,asm->urd,1503,0.9208250166333999,0.9700598802395209,0.9800399201596807,0.9453837241756553,0.8738489151000977,0.0840192511677742,0.3720758855342865,0.15001972019672394,0.5017730295658112,0.9840319361277445,0.9520958083832335,0.9680638722554891,labse_baseline,1503,0.9308050565535595,0.9813705921490352,0.9866932801064537,0.9528590609011793,0.7881056666374207,0.11617913842201233,0.3067918121814728,0.12267618626356125,0.4813138544559479,0.9673985362608117,0.9680638722554891,0.9677312042581504,-0.009980039920159611,-0.01131071190951427,-0.006653359946773074,-0.007475336725524029,0.085743248462677,0.06528407335281372,0.02045917510986328,0.016633399866932796,-0.015968063872255578,0.0003326679973386648
