model,delta_accuracy_at_1,delta_recall_at_5,delta_recall_at_10,delta_mrr,delta_mean_gold_cosine,delta_mean_random_cosine,delta_cosine_gap,delta_sensitivity_midpoint,delta_specificity_midpoint,delta_balanced_accuracy_midpoint
all_462_best_model,0.032876526888502955,0.047384307863349684,0.05423352429340467,0.04261824681494175,0.2241444271461014,0.14280565540223178,0.08133877174386961,0.13437914934920914,0.00920813495663797,0.07179364215292361
all_462_final_model,0.03194044810811281,0.04639206435613619,0.053486101390293084,0.04170245441743747,0.22989702261823075,0.1549701162279455,0.07492690639028532,0.1349940811018655,0.00794082830010967,0.07146745470098759
